-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
100,1.3251,1.2409,1.2655,1.7141,1.2717,1.784,1.325,1.3438,1.3769,1.301,1.1268,1.2842,0,0,0,0
101,0.3433,0.18891,0.14538,0.14947,0.16094,0.19327,0.26239,0.12403,0.18196,0.13065,0.1231,0.24888,0,0,0,0
102,0.37016,0.28186,0.20672,0.19224,0.24239,0.15077,0.24799,0.21485,0.14534,0.14776,0.19296,0.46326,0,0,0,0
103,1.4531,1.1399,0.77929,0.67057,0.76963,0.68597,0.90208,0.97886,1.209,0.9992,1.487,1.5144,0,0,0,0
104,4.0023,4.1119,3.9534,3.5298,3.5235,4.0413,3.5524,3.5329,3.6004,2.7885,3.4261,3.7536,0,0,0,0
105,1.7829,1.6171,1.3211,1.3125,1.4679,1.5103,1.4918,1.4085,1.3937,1.2228,1.7065,1.4473,0,0,0,0
106,2.4572,1.6893,1.1905,1.0685,1.3247,1.1851,1.8084,1.7831,1.9018,1.6935,2.487,2.6407,0,0,0,0
107,4.3878,3.9988,4.3959,3.4818,3.7726,4.2293,4.0142,3.6033,3.9777,3.443,3.6045,3.776,0,0,0,0
108,2.548,2.2971,1.9656,1.8466,2.011,1.982,2.2383,2.0877,1.9356,1.9142,2.4804,2.1515,0,0,0,0
109,2.0111,1.7792,1.5772,1.5122,1.686,1.6658,1.5334,1.4806,1.5016,1.3682,1.836,1.488,0,0,0,0
110,3.73,3.1878,2.7722,2.4326,3.0367,2.8172,3.2451,3.7057,3.1539,2.9256,3.7182,3.8776,0,0,0,0
111,3.131,3.1207,2.8194,2.1149,2.3063,2.8943,2.4753,2.5838,2.3641,2.218,2.8212,2.8913,0,0,0,0
112,2.9638,2.5433,2.3959,2.2689,2.4919,2.4808,2.5847,2.5943,2.3034,2.36,3.0238,2.5665,0,0,0,0
113,2.1727,1.7874,1.6438,1.5437,1.5782,1.7,1.3045,1.3353,1.2592,1.1773,1.5807,1.3653,0,0,0,0
114,3.0156,2.8016,2.5286,2.2375,2.4475,2.5991,2.66,2.8959,2.4753,2.4906,3.0829,2.532,0,0,0,0
115,2.0301,1.7415,1.532,1.4313,1.5542,1.6115,1.522,1.5853,1.5358,1.2922,1.8013,1.5051,0,0,0,0
116,4.1441,4.1422,3.2625,2.9839,3.4977,3.6955,3.9982,4.4587,3.7294,3.4545,4.1104,4.238,0,0,0,0
117,3.5329,3.5102,3.4361,2.6988,3.1047,3.323,2.8344,2.5404,2.9054,2.5831,3.0939,3.5837,0,0,0,0
118,2.6933,2.5046,2.4108,2.2296,2.491,2.5078,2.4758,2.5068,2.2445,2.2227,2.9153,2.3775,0,0,0,0
119,2.4131,2.0212,1.8221,1.6592,1.839,1.8523,1.7849,1.9393,1.8868,1.6811,2.2254,1.7763,0,0,0,0
120,3.7619,3.8606,3.2397,2.8388,2.8037,3.2156,3.6031,4.3973,3.6278,3.3334,3.9077,4.148,0,0,0,0
121,2.846,2.6854,2.8007,2.4758,2.9384,2.8533,2.5648,2.7528,2.5047,2.5378,3.2537,2.6551,0,0,0,0
122,2.1227,1.7546,1.5175,1.393,1.6205,1.5791,1.6768,1.7267,1.5936,1.491,1.9956,1.6144,0,0,0,0
123,3.3597,3.3686,2.5389,2.5571,2.9956,3.0343,3.4963,3.8634,3.2099,3.0146,3.7154,3.6547,0,0,0,0
124,2.406,2.5098,2.6537,2.3858,2.6455,2.8513,2.5987,2.707,2.512,2.6233,3.027,2.7028,0,0,0,0
125,2.602,2.2542,2.2441,2.202,2.4609,2.4954,2.3804,2.4456,2.3014,2.2082,2.7527,2.113,0,0,0,0
126,1.8996,1.4946,0.84745,1.0697,1.221,1.4767,1.2957,1.5197,1.6882,1.2788,2.109,2.3453,0,0,0,0
127,3.763,3.4822,3.8839,3.3051,3.4137,3.7563,3.2383,3.3716,3.2616,3.0425,3.7345,4.3515,0,0,0,0
